policy_id,policy_label,policy_description,anchor_poi_id,anchor_name,basis_week_start,basis_label,basis_level,anchor_crowd_signal,anchor_crowd_level,recommendation_count,top_alternative_poi_id,top_alternative_name,top3_alternative_poi_ids,top_alternative_score,top_crowd_relief,top_similarity,top_practicality,top_distance_to_anchor_km
crowd_heavy_fixed,Crowd-heavy fixed policy,Strongly prioritizes crowd relief in every period.,otm_N7215645385,The Blue Mosque,2026-05-03,Latest modeled week (2026-05-03),High,0.6648400175454006,Medium,5,otm_R4567928,Sokullu Mehmed Pasa Mosque,"[""otm_R4567928"", ""otm_R12342892"", ""otm_W132277802""]",0.6054264820867223,0.4211,0.875,0.8934,0.4
balanced_fixed,Balanced fixed policy,Keeps crowd relief highest but gives more room to similarity and practicality.,otm_N7215645385,The Blue Mosque,2026-05-03,Latest modeled week (2026-05-03),High,0.6648400175454006,Medium,5,otm_R4567928,Sokullu Mehmed Pasa Mosque,"[""otm_R4567928"", ""otm_R12342892"", ""otm_W132277802""]",0.6744327327280952,0.4211,0.875,0.8934,0.4
similarity_practicality_fixed,Similarity-practicality fixed policy,Places more emphasis on preserving the experience and geographic feasibility.,otm_N7215645385,The Blue Mosque,2026-05-03,Latest modeled week (2026-05-03),High,0.6648400175454006,Medium,5,otm_R4567928,Sokullu Mehmed Pasa Mosque,"[""otm_R4567928"", ""otm_W132277802"", ""otm_W104061375""]",0.74436062403407,0.4211,0.875,0.8934,0.4
implemented_dynamic,Implemented dynamic policy,Current demand-aware policy used in the app.,otm_N7215645385,The Blue Mosque,2026-03-08,Recent low week (2026-03-08),Low,0.41304892435796525,Medium,5,otm_R4567928,Sokullu Mehmed Pasa Mosque,"[""otm_R4567928"", ""otm_W132277802"", ""otm_R12342892""]",0.7531331266202049,0.4534,0.875,0.8934,0.4
crowd_heavy_fixed,Crowd-heavy fixed policy,Strongly prioritizes crowd relief in every period.,otm_N7215645385,The Blue Mosque,2026-03-08,Recent low week (2026-03-08),Low,0.41304892435796525,Medium,5,otm_R4567928,Sokullu Mehmed Pasa Mosque,"[""otm_R4567928"", ""otm_R12342892"", ""otm_W132277802""]",0.6248147685881962,0.4534,0.875,0.8934,0.4
balanced_fixed,Balanced fixed policy,Keeps crowd relief highest but gives more room to similarity and practicality.,otm_N7215645385,The Blue Mosque,2026-03-08,Recent low week (2026-03-08),Low,0.41304892435796525,Medium,5,otm_R4567928,Sokullu Mehmed Pasa Mosque,"[""otm_R4567928"", ""otm_R12342892"", ""otm_W132277802""]",0.6889739476042006,0.4534,0.875,0.8934,0.4
similarity_practicality_fixed,Similarity-practicality fixed policy,Places more emphasis on preserving the experience and geographic feasibility.,otm_N7215645385,The Blue Mosque,2026-03-08,Recent low week (2026-03-08),Low,0.41304892435796525,Medium,5,otm_R4567928,Sokullu Mehmed Pasa Mosque,"[""otm_R4567928"", ""otm_W132277802"", ""otm_W104061375""]",0.7540547672848069,0.4534,0.875,0.8934,0.4
implemented_dynamic,Implemented dynamic policy,Current demand-aware policy used in the app.,otm_N7215645385,The Blue Mosque,2026-04-19,Recent medium week (2026-04-19),Medium,0.5113924385981891,Medium,5,otm_R4567928,Sokullu Mehmed Pasa Mosque,"[""otm_R4567928"", ""otm_R12342892"", ""otm_W132277802""]",0.6815903350062681,0.437,0.875,0.8934,0.4
crowd_heavy_fixed,Crowd-heavy fixed policy,Strongly prioritizes crowd relief in every period.,otm_N7215645385,The Blue Mosque,2026-04-19,Recent medium week (2026-04-19),Medium,0.5113924385981891,Medium,5,otm_R4567928,Sokullu Mehmed Pasa Mosque,"[""otm_R4567928"", ""otm_R12342892"", ""otm_W132277802""]",0.6149699517909528,0.437,0.875,0.8934,0.4
balanced_fixed,Balanced fixed policy,Keeps crowd relief highest but gives more room to similarity and practicality.,otm_N7215645385,The Blue Mosque,2026-04-19,Recent medium week (2026-04-19),Medium,0.5113924385981891,Medium,5,otm_R4567928,Sokullu Mehmed Pasa Mosque,"[""otm_R4567928"", ""otm_R12342892"", ""otm_W132277802""]",0.6815903350062681,0.437,0.875,0.8934,0.4
similarity_practicality_fixed,Similarity-practicality fixed policy,Places more emphasis on preserving the experience and geographic feasibility.,otm_N7215645385,The Blue Mosque,2026-04-19,Recent medium week (2026-04-19),Medium,0.5113924385981891,Medium,5,otm_R4567928,Sokullu Mehmed Pasa Mosque,"[""otm_R4567928"", ""otm_W132277802"", ""otm_W104061375""]",0.7491323588861851,0.437,0.875,0.8934,0.4
implemented_dynamic,Implemented dynamic policy,Current demand-aware policy used in the app.,otm_R1564032,Süleymaniye Mosque,2026-05-03,Latest modeled week (2026-05-03),High,0.7193803614680285,High,5,otm_R12342892,Bayezid II Mosque,"[""otm_R12342892"", ""otm_W109980654"", ""otm_R4567928""]",0.6744390659614992,0.4542,0.875,0.8191,0.678
crowd_heavy_fixed,Crowd-heavy fixed policy,Strongly prioritizes crowd relief in every period.,otm_R1564032,Süleymaniye Mosque,2026-05-03,Latest modeled week (2026-05-03),High,0.7193803614680285,High,5,otm_R12342892,Bayezid II Mosque,"[""otm_R12342892"", ""otm_R4567928"", ""otm_W109980654""]",0.6141106776804306,0.4542,0.875,0.8191,0.678
balanced_fixed,Balanced fixed policy,Keeps crowd relief highest but gives more room to similarity and practicality.,otm_R1564032,Süleymaniye Mosque,2026-05-03,Latest modeled week (2026-05-03),High,0.7193803614680285,High,5,otm_R12342892,Bayezid II Mosque,"[""otm_R12342892"", ""otm_W109980654"", ""otm_R4567928""]",0.6744390659614992,0.4542,0.875,0.8191,0.678
similarity_practicality_fixed,Similarity-practicality fixed policy,Places more emphasis on preserving the experience and geographic feasibility.,otm_R1564032,Süleymaniye Mosque,2026-05-03,Latest modeled week (2026-05-03),High,0.7193803614680285,High,5,otm_R12342892,Bayezid II Mosque,"[""otm_R12342892"", ""otm_W109980654"", ""otm_W175518494""]",0.7319709157860972,0.4542,0.875,0.8191,0.678
implemented_dynamic,Implemented dynamic policy,Current demand-aware policy used in the app.,otm_R1564032,Süleymaniye Mosque,2026-03-08,Recent low week (2026-03-08),Low,0.4495336871812031,Medium,5,otm_R12342892,Bayezid II Mosque,"[""otm_R12342892"", ""otm_W109980654"", ""otm_W175518494""]",0.744374204182219,0.4862,0.875,0.8191,0.678
crowd_heavy_fixed,Crowd-heavy fixed policy,Strongly prioritizes crowd relief in every period.,otm_R1564032,Süleymaniye Mosque,2026-03-08,Recent low week (2026-03-08),Low,0.4495336871812031,Medium,5,otm_R12342892,Bayezid II Mosque,"[""otm_R12342892"", ""otm_R4567928"", ""otm_W109980654""]",0.633324177559733,0.4862,0.875,0.8191,0.678
balanced_fixed,Balanced fixed policy,Keeps crowd relief highest but gives more room to similarity and practicality.,otm_R1564032,Süleymaniye Mosque,2026-03-08,Recent low week (2026-03-08),Low,0.4495336871812031,Medium,5,otm_R12342892,Bayezid II Mosque,"[""otm_R12342892"", ""otm_W109980654"", ""otm_R4567928""]",0.688849190870976,0.4862,0.875,0.8191,0.678
similarity_practicality_fixed,Similarity-practicality fixed policy,Places more emphasis on preserving the experience and geographic feasibility.,otm_R1564032,Süleymaniye Mosque,2026-03-08,Recent low week (2026-03-08),Low,0.4495336871812031,Medium,5,otm_R12342892,Bayezid II Mosque,"[""otm_R12342892"", ""otm_W109980654"", ""otm_N4509066189""]",0.7415776657257483,0.4862,0.875,0.8191,0.678
implemented_dynamic,Implemented dynamic policy,Current demand-aware policy used in the app.,otm_R1564032,Süleymaniye Mosque,2026-04-19,Recent medium week (2026-04-19),Medium,0.5549292749260314,Medium,5,otm_R12342892,Bayezid II Mosque,"[""otm_R12342892"", ""otm_W109980654"", ""otm_R4567928""]",0.6815530359509151,0.47,0.875,0.8191,0.678
crowd_heavy_fixed,Crowd-heavy fixed policy,Strongly prioritizes crowd relief in every period.,otm_R1564032,Süleymaniye Mosque,2026-04-19,Recent medium week (2026-04-19),Medium,0.5549292749260314,Medium,5,otm_R12342892,Bayezid II Mosque,"[""otm_R12342892"", ""otm_R4567928"", ""otm_W109980654""]",0.6235959709996518,0.47,0.875,0.8191,0.678
balanced_fixed,Balanced fixed policy,Keeps crowd relief highest but gives more room to similarity and practicality.,otm_R1564032,Süleymaniye Mosque,2026-04-19,Recent medium week (2026-04-19),Medium,0.5549292749260314,Medium,5,otm_R12342892,Bayezid II Mosque,"[""otm_R12342892"", ""otm_W109980654"", ""otm_R4567928""]",0.6815530359509151,0.47,0.875,0.8191,0.678
similarity_practicality_fixed,Similarity-practicality fixed policy,Places more emphasis on preserving the experience and geographic feasibility.,otm_R1564032,Süleymaniye Mosque,2026-04-19,Recent medium week (2026-04-19),Medium,0.5549292749260314,Medium,5,otm_R12342892,Bayezid II Mosque,"[""otm_R12342892"", ""otm_W109980654"", ""otm_N4509066189""]",0.7367135624457077,0.47,0.875,0.8191,0.678
implemented_dynamic,Implemented dynamic policy,Current demand-aware policy used in the app.,otm_R7318154,Rumeli Fortress,2026-05-03,Latest modeled week (2026-05-03),High,0.6464972368427769,Medium,2,otm_Q1389334,Schiffbrücke über den Bosporus,"[""otm_Q1389334"", ""otm_W403376607""]",0.36285048996469543,0.2164,0.25,0.8899,0.413
crowd_heavy_fixed,Crowd-heavy fixed policy,Strongly prioritizes crowd relief in every period.,otm_R7318154,Rumeli Fortress,2026-05-03,Latest modeled week (2026-05-03),High,0.6464972368427769,Medium,2,otm_Q1389334,Schiffbrücke über den Bosporus,"[""otm_Q1389334"", ""otm_W403376607""]",0.3258073317341855,0.2164,0.25,0.8899,0.413
balanced_fixed,Balanced fixed policy,Keeps crowd relief highest but gives more room to similarity and practicality.,otm_R7318154,Rumeli Fortress,2026-05-03,Latest modeled week (2026-05-03),High,0.6464972368427769,Medium,2,otm_Q1389334,Schiffbrücke über den Bosporus,"[""otm_Q1389334"", ""otm_W403376607""]",0.36285048996469543,0.2164,0.25,0.8899,0.413
similarity_practicality_fixed,Similarity-practicality fixed policy,Places more emphasis on preserving the experience and geographic feasibility.,otm_R7318154,Rumeli Fortress,2026-05-03,Latest modeled week (2026-05-03),High,0.6464972368427769,Medium,2,otm_Q1389334,Schiffbrücke über den Bosporus,"[""otm_Q1389334"", ""otm_W403376607""]",0.4318907860032375,0.2164,0.25,0.8899,0.413
implemented_dynamic,Implemented dynamic policy,Current demand-aware policy used in the app.,otm_R7318154,Rumeli Fortress,2026-03-08,Recent low week (2026-03-08),Low,0.4007785212889333,Medium,2,otm_Q1389334,Schiffbrücke über den Bosporus,"[""otm_Q1389334"", ""otm_W403376607""]",0.40502693188869293,0.2335,0.25,0.8899,0.413
crowd_heavy_fixed,Crowd-heavy fixed policy,Strongly prioritizes crowd relief in every period.,otm_R7318154,Rumeli Fortress,2026-03-08,Recent low week (2026-03-08),Low,0.4007785212889333,Medium,2,otm_Q1389334,Schiffbrücke über den Bosporus,"[""otm_Q1389334"", ""otm_W403376607""]",0.33607389912116076,0.2335,0.25,0.8899,0.413
balanced_fixed,Balanced fixed policy,Keeps crowd relief highest but gives more room to similarity and practicality.,otm_R7318154,Rumeli Fortress,2026-03-08,Recent low week (2026-03-08),Low,0.4007785212889333,Medium,2,otm_Q1389334,Schiffbrücke über den Bosporus,"[""otm_Q1389334"", ""otm_W403376607""]",0.37055041550492684,0.2335,0.25,0.8899,0.413
similarity_practicality_fixed,Similarity-practicality fixed policy,Places more emphasis on preserving the experience and geographic feasibility.,otm_R7318154,Rumeli Fortress,2026-03-08,Recent low week (2026-03-08),Low,0.4007785212889333,Medium,2,otm_Q1389334,Schiffbrücke über den Bosporus,"[""otm_Q1389334"", ""otm_W403376607""]",0.43702406969672514,0.2335,0.25,0.8899,0.413
implemented_dynamic,Implemented dynamic policy,Current demand-aware policy used in the app.,otm_R7318154,Rumeli Fortress,2026-04-19,Recent medium week (2026-04-19),Medium,0.4967503116181781,Medium,2,otm_Q1389334,Schiffbrücke über den Bosporus,"[""otm_Q1389334"", ""otm_W403376607""]",0.3666364192086816,0.2248,0.25,0.8899,0.413
crowd_heavy_fixed,Crowd-heavy fixed policy,Strongly prioritizes crowd relief in every period.,otm_R7318154,Rumeli Fortress,2026-04-19,Recent medium week (2026-04-19),Medium,0.4967503116181781,Medium,2,otm_Q1389334,Schiffbrücke über den Bosporus,"[""otm_Q1389334"", ""otm_W403376607""]",0.33085523739283385,0.2248,0.25,0.8899,0.413
balanced_fixed,Balanced fixed policy,Keeps crowd relief highest but gives more room to similarity and practicality.,otm_R7318154,Rumeli Fortress,2026-04-19,Recent medium week (2026-04-19),Medium,0.4967503116181781,Medium,2,otm_Q1389334,Schiffbrücke über den Bosporus,"[""otm_Q1389334"", ""otm_W403376607""]",0.3666364192086816,0.2248,0.25,0.8899,0.413
similarity_practicality_fixed,Similarity-practicality fixed policy,Places more emphasis on preserving the experience and geographic feasibility.,otm_R7318154,Rumeli Fortress,2026-04-19,Recent medium week (2026-04-19),Medium,0.4967503116181781,Medium,2,otm_Q1389334,Schiffbrücke über den Bosporus,"[""otm_Q1389334"", ""otm_W403376607""]",0.43441473883256165,0.2248,0.25,0.8899,0.413
