date,poi_id,display_name_en,category_clean,query_area,lat,lon,crowdindex_poi,crowd_pressure_100,city_demand_score,poi_weight_value
2026-05-03,otm_Q106151902,Ladikli Ahmed Ağa Çeşmesi,historic,Kadikoy Historic Center,40.9958381652832,29.023975372314453,0.002140994194596,56.91,0.6084517240524292,0.003518757709053
2026-05-03,otm_W697224044,Teşvikiye Mosque,religious,Dolmabahce,41.049373626708984,28.994291305541992,0.0021389128966424,56.85,0.6084517240524292,0.0035153370630571
2026-05-03,otm_W167640480,Aya Nikola Kilisesi,religious,Galata Tower,41.02445602416992,28.97852325439453,0.0021356897484731,56.77,0.6084517240524292,0.0035100397682316
2026-05-03,otm_W676830364,"Haidar Pasha Cemetery, Commonwealth War Graves Commission Plot",historic,Kadikoy Historic Center,40.99964141845703,29.02056312561035,0.0021345722170621,56.74,0.6084517240524292,0.0035082030877412
2026-05-03,otm_Q97368741,Halid Ağa Çeşmesi,historic,Kadikoy Historic Center,40.9912109375,29.02802467346191,0.0021289407772774,56.59,0.6084517240524292,0.003498947727682
2026-05-03,otm_Q1775929,Kloster Sanctus Angelus in Petra,religious,Fatih / Valens Aqueduct,41.01972198486328,28.95722198486328,0.002125251225697,56.49,0.6084517240524292,0.0034928838914983
2026-05-03,otm_W526875901,Church of St. George,religious,Balat / Fener,41.02912139892578,28.951894760131836,0.0021235642812673,56.44,0.6084517240524292,0.0034901113717354
2026-05-03,otm_W237868337,Atik Valide Mosque,religious,Uskudar Waterfront,41.01889419555664,29.02358627319336,0.0021227115362007,56.42,0.6084517240524292,0.0034887098717758
2026-05-03,otm_W237833983,Şemsi Pasha Mosque,religious,Uskudar Waterfront,41.02594375610352,29.0113525390625,0.002118502935801,56.31,0.6084517240524292,0.0034817929706754
2026-05-03,otm_W112659195,Tahtakale Hamam,historic,Eminonu / Spice Bazaar,41.01775360107422,28.96790885925293,0.0021153742107467,56.23,0.6084517240524292,0.003476650861728
2026-05-03,otm_N3360707037,Church of Santa Maria Draperis,religious,Istiklal / Pera,41.03009796142578,28.976152420043945,0.0021144350097452,56.2,0.6084517240524292,0.0034751072700766
2026-05-03,otm_Q6088683,Istanbul Zoology Museum,museum,Suleymaniye,41.01333236694336,28.963611602783203,0.0021111812748166,56.12,0.6084517240524292,0.0034697597054302
2026-05-03,otm_Q1389334,Schiffbrücke über den Bosporus,attraction,Rumeli Hisari,41.08722305297851,29.06068420410156,0.0021069427158825,56.0,0.6084517240524292,0.0034627935670061
2026-05-03,otm_N3360668134,Church of Saints Peter and Paul,religious,Galata Tower,41.02483749389648,28.972944259643555,0.0021063841427365,55.99,0.6084517240524292,0.0034618755432355
2026-05-03,otm_N3402422970,Yeraltı Camii,religious,Galata Tower,41.0223274230957,28.97679901123047,0.0021056666013003,55.97,0.6084517240524292,0.0034606962525739
2026-05-03,otm_N5506396363,The Jewish Museum of Turkey,museum,Galata Tower,41.02678680419922,28.972728729248047,0.0021053629762699,55.96,0.6084517240524292,0.0034601972400501
2026-05-03,otm_W165484023,Kemankeş Karamustafa Paşa Camii,religious,Galata Tower,41.02275466918945,28.97670555114746,0.0021032802919884,55.91,0.6084517240524292,0.0034567743156025
2026-05-03,otm_W331194094,Kemalpaşa Camii,religious,Fatih / Valens Aqueduct,41.01177215576172,28.95525550842285,0.0021001816698048,55.82,0.6084517240524292,0.0034516816811976
2026-05-03,otm_Q106035131,Hüseyin Ağa Çeşmesi,historic,Kadikoy Historic Center,40.989891052246094,29.02583885192871,0.0020954446628383,55.7,0.6084517240524292,0.0034438963355748
2026-05-03,otm_N278713308,Holy Trinity,religious,Istiklal / Pera,41.03173065185547,28.975557327270508,0.0020952555736269,55.69,0.6084517240524292,0.0034435855644751
2026-05-03,otm_Q3582353,église Saint-Louis-des-Français d'Istanbul,religious,Istiklal / Pera,41.030799865722656,28.976900100708008,0.0020899843409915,55.55,0.6084517240524292,0.0034349222105441
2026-05-03,otm_W46332545,Alman Protestan Kilisesi,religious,Istiklal / Pera,41.03614044189453,28.97385025024414,0.0020866704041254,55.46,0.6084517240524292,0.0034294757030644
2026-05-03,otm_Q5058732,Cemil Topuzlu Open-Air Theatre,attraction,Dolmabahce,41.04583358764648,28.990278244018555,0.0020863749846092,55.46,0.6084517240524292,0.0034289901764326
2026-05-03,otm_W331196574,Mosque with the Spiral Minaret,religious,Fatih / Valens Aqueduct,41.01451873779297,28.956363677978516,0.0020842176877512,55.4,0.6084517240524292,0.0034254446250392
2026-05-03,otm_W884165212,Perili Köşk,attraction,Rumeli Hisari,41.08917236328125,29.056659698486328,0.0020837445985156,55.39,0.6084517240524292,0.0034246670954228
2026-05-03,otm_N269497288,Tomb of Hayreddin Barbarossa,historic,Yildiz Palace,41.04192352294922,29.0068359375,0.0020823216573544,55.35,0.6084517240524292,0.0034223284691935
2026-05-03,otm_W329234516,Hirami Ahmet Pasha Mosque (St. John in Trullo),religious,Balat / Fener,41.02798843383789,28.94590950012207,0.0020800661793984,55.29,0.6084517240524292,0.0034186215556178
2026-05-03,otm_W53602038,Haidar Pasha Cemetery,historic,Kadikoy Historic Center,41.000709533691406,29.01869010925293,0.0020786539184063,55.25,0.6084517240524292,0.0034163004824147
2026-05-03,otm_Q20470923,Tatavla Aya Dimitri Church,religious,Hagia Sophia / Basilica Cistern,41.00972366333008,28.981111526489254,0.0020769203567875,55.2,0.6084517240524292,0.0034134513465667
2026-05-03,otm_W310249875,Cami,religious,Rumeli Hisari,41.091896057128906,29.04642105102539,0.0020719264613363,55.07,0.6084517240524292,0.0034052438006698
2026-05-03,otm_N269479694,Sculpture of Barbarossa,historic,Dolmabahce,41.04158020019531,29.006357192993164,0.0020713696583555,55.06,0.6084517240524292,0.0034043286861934
2026-05-03,otm_N7112399780,Tarlabasi,religious,Istiklal / Pera,41.03667449951172,28.98073959350586,0.0020655792215999,54.9,0.6084517240524292,0.0033948120121063
2026-05-03,otm_Q6024672,Karikatür ve Mizah Müzesi,museum,Istiklal / Pera,41.0330810546875,28.973779678344727,0.0020615485240606,54.8,0.6084517240524292,0.0033881874971612
2026-05-03,otm_Q31188778,Ayvansaray Panayia Balino Church,religious,Balat / Fener,41.03580474853515,28.944805145263672,0.0020604670530537,54.77,0.6084517240524292,0.0033864100825133
2026-05-03,otm_Q2811614,Turkcell Kuruçeşme Arena,attraction,Ortakoy,41.05634689331055,29.034767150878903,0.0020580169703224,54.7,0.6084517240524292,0.0033823833329217
2026-05-03,otm_N5112750908,Balat Yanbol Sinagogu,religious,Balat / Fener,41.03337097167969,28.946205139160156,0.0020574411903464,54.69,0.6084517240524292,0.0033814370294548
2026-05-03,otm_W498861881,Molla Celebi Camii (Findikli Camii),religious,Dolmabahce,41.03216171264648,28.990537643432617,0.0020566643265654,54.67,0.6084517240524292,0.0033801602415843
2026-05-03,otm_Q784328,Armenian Catholic Archeparchy of Istanbul,religious,Istiklal / Pera,41.03559875488281,28.979799270629883,0.0020556450009837,54.64,0.6084517240524292,0.0033784849639223
2026-05-03,otm_Q27925126,St. Mary of Sakızağaç Cathedral,religious,Yildiz Palace,41.044620513916016,29.00511360168457,0.0020544133516576,54.61,0.6084517240524292,0.0033764607288394
2026-05-03,otm_W236166952,Kadıköy (Metro İstanbul),historic,Kadikoy Historic Center,40.99065780639648,29.02216339111328,0.002051713114301,54.53,0.6084517240524292,0.0033720228461778
2026-05-03,otm_Q3397455,Handan Agha Mosque,religious,Balat / Fener,41.03821563720703,28.951101303100582,0.0020487810139497,54.46,0.6084517240524292,0.0033672038930293
2026-05-03,otm_W309036497,Rum Ortodoks Aya Konstantin Kilisesi,religious,Istiklal / Pera,41.03805160522461,28.97709274291992,0.0020442802622697,54.34,0.6084517240524292,0.0033598068366942
2026-05-03,otm_Q620190,Apostolic Exarchate of Istanbul,religious,Istiklal / Pera,41.03689956665039,28.977500915527344,0.002043542760538,54.32,0.6084517240524292,0.0033585947409724
2026-05-03,otm_N5113620695,Istanbul Museum of the History of Science and Technology in Islam,museum,Topkapi Palace,41.01304244995117,28.978940963745117,0.0020417511174734,54.27,0.6084517240524292,0.0033556501473525
2026-05-03,otm_W112619334,Church of Saint Anthony of Padua,religious,Istiklal / Pera,41.03227615356445,28.977197647094727,0.0020403508799891,54.23,0.6084517240524292,0.003353348834974
2026-05-03,otm_W329264309,Şeyh Süleyman Mosque,religious,Fatih / Valens Aqueduct,41.01921081542969,28.955366134643555,0.0020397705017496,54.22,0.6084517240524292,0.0033523949741885
2026-05-03,otm_N6224223202,Saint Esprit Katedrali,religious,Dolmabahce,41.044673919677734,28.9858455657959,0.0020369095578872,54.14,0.6084517240524292,0.0033476929678512
2026-05-03,otm_Q48969579,"Melkite Greek Catholic Cathedral, Istanbul",religious,Istiklal / Pera,41.034889221191406,28.976119995117188,0.0020362793657405,54.12,0.6084517240524292,0.0033466572371239
2026-05-03,otm_Q6447963,Istanbul Painting and Sculpture Museum,museum,Dolmabahce,41.038612365722656,28.99888801574707,0.0020360373009356,54.12,0.6084517240524292,0.0033462593998012
2026-05-03,otm_W165718178,Galata Mevlevi House Museum,museum,Galata Tower,41.02801513671875,28.975114822387695,0.0020353747688499,54.1,0.6084517240524292,0.0033451705178742
2026-05-03,otm_W709381140,Soğukçeşme Sokağı,historic,Hagia Sophia / Basilica Cistern,41.00944137573242,28.98009490966797,0.002033266576217,54.04,0.6084517240524292,0.003341705670049
2026-05-03,otm_Q1366011,Chaldean Catholic Archeparchy of Diyarbakir,religious,Suleymaniye,41.01666641235352,28.96666717529297,0.0020316689586612,54.0,0.6084517240524292,0.0033390799604114
2026-05-03,otm_W175520628,Ahrida Synagogue,religious,Balat / Fener,41.03291320800781,28.945518493652344,0.0020290762745868,53.93,0.6084517240524292,0.0033348188432646
2026-05-03,otm_W523879940,Ahmediye Cami,religious,Fatih / Valens Aqueduct,41.01496124267578,28.946699142456055,0.0020274264636789,53.89,0.6084517240524292,0.0033321073530301
2026-05-03,otm_Q31188024,Panayia İsodion Church,religious,Istiklal / Pera,41.03277587890625,28.975833892822266,0.0020249030264763,53.82,0.6084517240524292,0.0033279600442087
