xid,name,dist,rate,osm,wikidata,kinds,point,query_area
N4519367793,Aziz Mahmud Hüdayi Mosque,402.54177865,3,node/4519367793,Q20471234,"religion,mosques,interesting_places","{'lon': 29.01427459716797, 'lat': 41.02224349975586}",Uskudar Waterfront
W263949143,Dolmabahçe Clock Tower,402.90023446,3,way/263949143,Q1818013,"towers,architecture,interesting_places,clock_towers","{'lon': 28.996362686157227, 'lat': 41.03765869140625}",Dolmabahce
N5113620695,Istanbul Museum of the History of Science and Technology in Islam,404.63476424,3,node/5113620695,Q16850295,"cultural,museums,interesting_places,museums_of_science_and_technology,other_technology_museums","{'lon': 28.978940963745117, 'lat': 41.01304244995117}",Topkapi Palace
N4774162755,Museum of The History of Science and Technology in Islam,407.1038537,3,node/4774162755,Q16850295,"cultural,museums,interesting_places,museums_of_science_and_technology,other_technology_museums","{'lon': 28.97927474975586, 'lat': 41.01353454589844}",Topkapi Palace
W498861770,Küçük Mecidiye Mosque,409.46139996,3,way/498861770,Q2719794,"religion,mosques,interesting_places","{'lon': 29.01690101623535, 'lat': 41.045379638671875}",Yildiz Palace
N4825753221,Istanbul museum of the history of science & technology in islamc,423.87676477,3,node/4825753221,Q16850295,"cultural,museums,interesting_places,museums_of_science_and_technology,other_technology_museums","{'lon': 28.97898292541504, 'lat': 41.01346969604492}",Topkapi Palace
R6390364,Rüstem Pasha Medrese,424.70525532,3,relation/6390364,Q31193235,"architecture,historic_architecture,interesting_places,other_buildings_and_structures","{'lon': 28.97269630432129, 'lat': 41.01317596435547}",Eminonu / Spice Bazaar
N4509065890,Şehzade Mosque,424.77025058,3,node/4509065890,Q644677,"religion,mosques,interesting_places","{'lon': 28.95765495300293, 'lat': 41.013275146484375}",Fatih / Valens Aqueduct
N3402422970,Yeraltı Camii,425.60441704,3,node/3402422970,Q12885210,"religion,mosques,interesting_places","{'lon': 28.97679901123047, 'lat': 41.0223274230957}",Galata Tower
N6072311187,Theodosia Cistern,426.1694164,3,node/6072311187,Q3150393,"historic,archaeology,interesting_places,other_archaeological_sites","{'lon': 28.97248649597168, 'lat': 41.00741195678711}",Sultanahmet Core
N4977947521,Church of St. Polyeuktos,428.0379651,3,node/4977947521,Q1578614,"religion,architecture,historic_architecture,fortifications,historic,churches,interesting_places,destroyed_objects,castles,other_churches","{'lon': 28.952959060668945, 'lat': 41.01423263549805}",Fatih / Valens Aqueduct
N4509066089,Şehzade Mosque,429.70338329,3,node/4509066089,Q644677,"religion,mosques,interesting_places","{'lon': 28.95780372619629, 'lat': 41.01325988769531}",Fatih / Valens Aqueduct
N5973063786,Theodosius Cistern,431.26303693,3,node/5973063786,Q3150393,"historic,archaeology,cultural,museums,interesting_places,other_museums,other_archaeological_sites","{'lon': 28.972450256347656, 'lat': 41.00745391845703}",Sultanahmet Core
W333931795,Ayazma Cami,432.76691601,3,way/333931795,Q3324894,"religion,mosques,interesting_places","{'lon': 29.008846282958984, 'lat': 41.02260208129883}",Maiden's Tower Coast
Q23725,Byzantium,436.26203925,3,,Q23725,"settlements,historic,archaeology,interesting_places","{'lon': 28.984722137451172, 'lat': 41.01527786254883}",Topkapi Palace
W48968788,Çadır Köşkü,438.54118211,3,way/48968788,Q6100184,"other,unclassified_objects,interesting_places,tourist_object","{'lon': 29.0133113861084, 'lat': 41.047698974609375}",Yildiz Palace
W695627910,Hemdat Israel Sinagogu,441.60535872,3,way/695627910,Q3409173,"religion,synagogues,interesting_places","{'lon': 29.027421951293945, 'lat': 40.99478530883789}",Kadikoy Historic Center
W110314231,Theotokos Kyriotissa (Kalenderhane),445.37194853,3,way/110314231,Q1758501,"religion,mosques,interesting_places","{'lon': 28.960369110107422, 'lat': 41.013145446777344}",Suleymaniye
N3360707037,Church of Santa Maria Draperis,447.02253538,3,node/3360707037,Q32239,"religion,churches,interesting_places,catholic_churches","{'lon': 28.976152420043945, 'lat': 41.03009796142578}",Istiklal / Pera
N5081445095,Yavuz Selim Mosque,449.51297833,3,node/5081445095,Q2565329,"religion,mosques,interesting_places","{'lon': 28.951038360595703, 'lat': 41.025779724121094}",Balat / Fener
Q31190969,Kaptan İbrahim Ağa Camii,453.02125367,3,,Q31190969,"religion,mosques,interesting_places","{'lon': 29.003000259399414, 'lat': 41.04288864135742}",Dolmabahce
R6554433,Vodafone Park,457.34702427,3,relation/6554433,Q14914703,"sport,cultural,museums,interesting_places,other_museums,stadiums","{'lon': 28.995269775390625, 'lat': 41.03944396972656}",Dolmabahce
W331247663,Zal Mahmud Pasha Mosque,458.21191288,3,way/331247663,Q1572457,"religion,mosques,interesting_places","{'lon': 28.93585205078125, 'lat': 41.04463577270508}",Eyup / Pierre Loti
N4512813092,Cistern of Aspar,459.59231844,3,node/4512813092,Q6076508,"historic,archaeology,interesting_places,other_archaeological_sites","{'lon': 28.950132369995117, 'lat': 41.02557373046875}",Balat / Fener
W280961352,Galata Bridge,460.20164257,3,way/280961352,Q81523,"bridges,architecture,interesting_places,moveable_bridges","{'lon': 28.97311782836914, 'lat': 41.02000427246094}",Eminonu / Spice Bazaar
W498861869,Naval Museum,467.7161802,3,way/498861869,Q11787082,"national_museums,cultural,museums,interesting_places,museums_of_science_and_technology,maritime_museums,military_museums","{'lon': 29.005691528320312, 'lat': 41.04105758666992}",Dolmabahce
W733808427,Ahmet Çelebi Mosque,474.94358115,3,way/733808427,Q6047829,"religion,mosques,interesting_places","{'lon': 29.013490676879883, 'lat': 41.021724700927734}",Uskudar Waterfront
W401123337,Beylerbeyi Mosque,478.49811433,3,way/401123337,Q6845681,"religion,mosques,interesting_places","{'lon': 29.04461669921875, 'lat': 41.04497528076172}",Beylerbeyi Palace
N551453949,Beylerbeyi Mosque,481.42017924,3,node/551453949,Q6845681,"religion,mosques,interesting_places","{'lon': 29.0445613861084, 'lat': 41.0450553894043}",Beylerbeyi Palace
N663391254,Tomb of Sultan II. Mahmud,481.54649979,3,node/663391254,Q4273774,"historic,monuments_and_memorials,burial_places,interesting_places,mausoleums,monuments","{'lon': 28.972728729248047, 'lat': 41.008445739746094}",Sultanahmet Core
W303179753,Little Hagia Sophia,487.9132611,3,way/303179753,Q1144576,"religion,mosques,churches,interesting_places,other_churches","{'lon': 28.972192764282227, 'lat': 41.00273132324219}",Sultanahmet Core
W35391586,Eyüp Cemetery,492.27982947,3,way/35391586,Q6002600,"cemeteries,historic,burial_places,interesting_places","{'lon': 28.93324851989746, 'lat': 41.05241394042969}",Eyup / Pierre Loti
N5244807624,Mausoleum of Mahmud II,494.4990567,3,node/5244807624,Q4273774,"historic,monuments_and_memorials,burial_places,interesting_places,mausoleums,monuments","{'lon': 28.97258186340332, 'lat': 41.00850296020508}",Sultanahmet Core
Q751820,BJK İnönü Stadium,501.00871296,3,,Q751820,"sport,architecture,historic_architecture,interesting_places,destroyed_objects,stadiums","{'lon': 28.994741439819336, 'lat': 41.039207458496094}",Dolmabahce
N5112750908,Balat Yanbol Sinagogu,502.58668471,3,node/5112750908,Q3409182,"religion,synagogues,interesting_places","{'lon': 28.946205139160156, 'lat': 41.03337097167969}",Balat / Fener
Q6063427,Abbas Ağa Fountain,507.25903334,3,,Q6063427,"fountains,historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments","{'lon': 29.018138885498047, 'lat': 41.021812438964844}",Uskudar Waterfront
N269497288,Tomb of Hayreddin Barbarossa,519.88217588,3,node/269497288,Q6021475,"historic,monuments_and_memorials,burial_places,interesting_places,mausoleums,monuments","{'lon': 29.0068359375, 'lat': 41.04192352294922}",Yildiz Palace
N5113481394,Sultan Cistern,525.37922786,3,node/5113481394,Q6076508,"historic,archaeology,interesting_places,other_archaeological_sites,restaurants,foods,tourist_facilities","{'lon': 28.950336456298828, 'lat': 41.024993896484375}",Balat / Fener
W525963959,Eski Imaret Mosque,529.58545381,3,way/525963959,Q2410449,"religion,mosques,churches,interesting_places,other_churches","{'lon': 28.95499610900879, 'lat': 41.021629333496094}",Fatih / Valens Aqueduct
W498861874,Bezmialem Valide Sultan Camii,532.74383686,3,way/498861874,Q2086068,"religion,mosques,interesting_places","{'lon': 28.9952335357666, 'lat': 41.036773681640625}",Dolmabahce
N269479694,Sculpture of Barbarossa,544.15567434,3,node/269479694,Q6033590,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments","{'lon': 29.006357192993164, 'lat': 41.04158020019531}",Dolmabahce
N5108828685,Basketmakers' Kiosk,544.69430509,3,node/5108828685,Q4867763,"cultural,museums,interesting_places,other_museums,restaurants,foods,tourist_facilities","{'lon': 28.981937408447266, 'lat': 41.01629638671875}",Topkapi Palace
N3580821812,Muzeum Adama Mickiewicza,545.861319,3,node/3580821812,Q4679495,"biographical_museums,historic_house_museums,cultural,museums,interesting_places,history_museums","{'lon': 28.977148056030273, 'lat': 41.038780212402344}",Istiklal / Pera
N3254468506,Adam Mickiewicz Museum,545.861319,3,node/3254468506,Q4679495,"biographical_museums,historic_house_museums,cultural,museums,interesting_places,history_museums","{'lon': 28.977148056030273, 'lat': 41.038780212402344}",Istiklal / Pera
R7317847,Sinan Pasha Mosque,548.61339306,3,relation/7317847,Q1572395,"religion,mosques,interesting_places","{'lon': 29.006258010864258, 'lat': 41.0423583984375}",Yildiz Palace
N3236233297,Column of Marcian,550.72563858,3,node/3236233297,Q285236,"historic,monuments_and_memorials,burial_places,urban_environment,cultural,interesting_places,other_burial_places,sculptures,monuments","{'lon': 28.950284957885742, 'lat': 41.01544189453125}",Fatih / Valens Aqueduct
R6606776,Yıldız Park,555.71498273,3,relation/6606776,Q1818005,"urban_environment,gardens_and_parks,cultural,interesting_places","{'lon': 29.015438079833984, 'lat': 41.048282623291016}",Yildiz Palace
W165574748,Kılıç Ali Pasha Complex,557.58165616,3,way/165574748,Q862848,"religion,mosques,interesting_places","{'lon': 28.9809627532959, 'lat': 41.02641677856445}",Galata Tower
W498861887,Sokollu Mehmed Pasha Mosque (Azapkapı),558.97124627,3,way/498861887,Q6071846,"religion,mosques,interesting_places","{'lon': 28.967809677124023, 'lat': 41.02505111694336}",Galata Tower
W499172507,Beylerbeyi Camii,559.6825795,3,way/499172507,Q6845681,"religion,mosques,interesting_places","{'lon': 29.04571533203125, 'lat': 41.04513168334961}",Beylerbeyi Palace
W206855035,Hagia Triada Greek Orthodox Church,564.78879478,3,way/206855035,Q5638730,"religion,churches,interesting_places,other_churches","{'lon': 28.984235763549805, 'lat': 41.035587310791016}",Istiklal / Pera
Q6048639,Şehzade Numan fountain,573.2735613,3,,Q6048639,"fountains,historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments","{'lon': 29.018665313720703, 'lat': 41.02135467529297}",Uskudar Waterfront
N6879165718,15 July coup monument (Istanbul),576.06670347,3,node/6879165718,Q108404641,"historic,monuments_and_memorials,interesting_places,monuments","{'lon': 29.042274475097656, 'lat': 41.036991119384766}",Beylerbeyi Palace
W165574764,Kılıç Ali Pasha Complex,584.65852595,3,way/165574764,Q862848,"religion,mosques,historic,burial_places,interesting_places,other_burial_places","{'lon': 28.98131561279297, 'lat': 41.0262336730957}",Galata Tower
N6185588853,Taksim Simit,588.13026997,3,node/6185588853,Q31190329,"religion,mosques,interesting_places","{'lon': 28.98427391052246, 'lat': 41.03607940673828}",Istiklal / Pera
N5108828680,Istanbul Railway Museum,589.76766326,3,node/5108828680,Q15228897,"cultural,museums,interesting_places,museums_of_science_and_technology,railway_museums","{'lon': 28.977020263671875, 'lat': 41.0152702331543}",Eminonu / Spice Bazaar
W331194094,Kemalpaşa Camii,589.83977698,3,way/331194094,Q6028049,"religion,mosques,interesting_places","{'lon': 28.95525550842285, 'lat': 41.01177215576172}",Fatih / Valens Aqueduct
W132052542,Tophane Fountain,590.43249911,3,way/132052542,Q6077177,"fountains,cultural,urban_environment,interesting_places","{'lon': 28.981277465820312, 'lat': 41.026763916015625}",Galata Tower
W970169413,Tophane Fountain,593.96465734,3,way/970169413,Q6077177,"other,unclassified_objects,interesting_places,tourist_object","{'lon': 28.98102378845215, 'lat': 41.02755355834961}",Galata Tower
Q27900,Siege of Constantinople (717-718),600.29239594,3,,Q27900,"battlefields,historic,historical_places,interesting_places","{'lon': 28.975000381469727, 'lat': 41.01250076293945}",Eminonu / Spice Bazaar
Q6070291,Mahmutpaşa Camii,605.05411118,3,,Q6070291,"religion,mosques,interesting_places","{'lon': 28.971330642700195, 'lat': 41.0111198425293}",Eminonu / Spice Bazaar
W24533505,Orhan Kemal Museum,605.28799881,3,way/24533505,Q20949672,"cultural,museums,interesting_places,other_museums","{'lon': 28.98360824584961, 'lat': 41.03057861328125}",Istiklal / Pera
N5600243670,Surp Asdvadzadzin Kilisesi,610.75009,3,node/5600243670,Q16008767,"religion,churches,interesting_places,other_churches","{'lon': 29.00530433654785, 'lat': 41.0445556640625}",Yildiz Palace
Q2155032,Siege of Constantinople,618.05045638,3,,Q2155032,"battlefields,historic,historical_places,interesting_places","{'lon': 28.97601890563965, 'lat': 41.01224136352539}",Topkapi Palace
Q2742323,Siege of Constantinople,618.05045638,3,,Q2742323,"battlefields,historic,historical_places,interesting_places","{'lon': 28.97601890563965, 'lat': 41.01224136352539}",Topkapi Palace
Q312268,Siege of Constantinople,618.05045638,3,,Q312268,"battlefields,historic,historical_places,interesting_places","{'lon': 28.97601890563965, 'lat': 41.01224136352539}",Topkapi Palace
Q767844,Siege of Constantinople,618.05045638,3,,Q767844,"battlefields,historic,historical_places,interesting_places","{'lon': 28.97601890563965, 'lat': 41.01224136352539}",Topkapi Palace
Q1750892,Siege of Constantinople,618.05045638,3,,Q1750892,"battlefields,historic,historical_places,interesting_places","{'lon': 28.97601890563965, 'lat': 41.01224136352539}",Topkapi Palace
Q399482,Siege of Constantinople (674-678),618.05045638,3,,Q399482,"battlefields,historic,historical_places,interesting_places","{'lon': 28.97601890563965, 'lat': 41.01224136352539}",Topkapi Palace
Q700886,Siege of Constantinople,618.05045638,3,,Q700886,"battlefields,historic,historical_places,interesting_places","{'lon': 28.97601890563965, 'lat': 41.01224136352539}",Topkapi Palace
W48971970,Serencebey Parkı,618.77168072,3,way/48971970,Q31190974,"gardens_and_parks,cultural,urban_environment,interesting_places","{'lon': 29.00879669189453, 'lat': 41.048614501953125}",Yildiz Palace
Q28098273,Reina,623.33403733,3,,Q28098273,"cultural,theatres_and_entertainments,nightclubs,interesting_places,adult,music_venues,foods,bars,tourist_facilities","{'lon': 29.032499313354492, 'lat': 41.04999923706055}",Ortakoy
N5224440223,Bosphorus Bridge,627.56885661,3,node/5224440223,Q4484,"bridges,architecture,interesting_places,suspension_bridges","{'lon': 29.03449249267578, 'lat': 41.045352935791016}",Beylerbeyi Palace
W865322627,Taksim Camii,627.67764982,3,way/865322627,Q31190329,"religion,mosques,interesting_places","{'lon': 28.98407745361328, 'lat': 41.037071228027344}",Istiklal / Pera
Q27925126,St. Mary of Sakızağaç Cathedral,627.71555565,3,,Q27925126,"religion,churches,interesting_places,other_churches","{'lon': 29.00511360168457, 'lat': 41.044620513916016}",Yildiz Palace
Q4937471,Bogdan Saray,637.48228684,3,,Q4937471,"religion,churches,interesting_places,other_churches","{'lon': 28.942119598388672, 'lat': 41.02975082397461}",Balat / Fener
R1661399,Fatih Mosque,638.40162098,3,relation/1661399,Q756189,"religion,mosques,interesting_places","{'lon': 28.94988250732422, 'lat': 41.01981735229492}",Fatih / Valens Aqueduct
Q586568,Church of the Holy Apostles,645.28914971,3,,Q586568,"religion,architecture,historic_architecture,churches,interesting_places,destroyed_objects,other_churches","{'lon': 28.949722290039062, 'lat': 41.01972198486328}",Fatih / Valens Aqueduct
W330645373,Gül Mosque,649.52301265,3,way/330645373,Q2334536,"religion,mosques,churches,interesting_places,other_churches","{'lon': 28.95638084411621, 'lat': 41.026763916015625}",Balat / Fener
W437709811,Yıldız Hamidiye Mosque,656.45495318,3,way/437709811,Q1573438,"religion,mosques,interesting_places","{'lon': 29.00998878479004, 'lat': 41.04939651489258}",Yildiz Palace
R12342892,Bayezid II Mosque,669.54212107,3,relation/12342892,Q853064,"religion,mosques,interesting_places","{'lon': 28.965389251708984, 'lat': 41.010292053222656}",Suleymaniye
Q956679,Siege of Constantinople (821-823),680.67586898,3,,Q956679,"battlefields,historic,historical_places,interesting_places","{'lon': 28.97601890563965, 'lat': 41.01224136352539}",Eminonu / Spice Bazaar
N5113611502,Kefeli cami,680.83305549,3,node/5113611502,Q2565343,"religion,mosques,interesting_places","{'lon': 28.941608428955078, 'lat': 41.02952194213867}",Balat / Fener
Q4849720,Balaban Aga Mosque,683.31140564,3,,Q4849720,"religion,mosques,interesting_places","{'lon': 28.95829963684082, 'lat': 41.01100158691406}",Fatih / Valens Aqueduct
N5115939964,The Museum of Turkish Calligraphic Art,684.97333724,3,node/5115939964,Q6549659,"cultural,museums,interesting_places,other_museums","{'lon': 28.963180541992188, 'lat': 41.01005172729492}",Suleymaniye
Q7130904,Pangaltı Armenian Cemetery,686.12530189,3,,Q7130904,"cemeteries,architecture,historic_architecture,historic,burial_places,interesting_places,destroyed_objects","{'lon': 28.985000610351562, 'lat': 41.03694534301758}",Istiklal / Pera
N2329194003,Republic Monument,697.75238431,3,node/2329194003,Q1143790,"historic,monuments_and_memorials,interesting_places,monuments","{'lon': 28.985143661499023, 'lat': 41.036964416503906}",Istiklal / Pera
Q3394745,Yıldız Clock Tower,703.93543498,3,,Q3394745,"architecture,towers,interesting_places,clock_towers","{'lon': 29.00979995727539, 'lat': 41.049800872802734}",Yildiz Palace
N8615579901,Mehmed Kemal Bey  sepulchral monument,713.98421749,3,node/8615579901,Q6087513,"historic,monuments_and_memorials,interesting_places,monuments","{'lon': 29.034744262695312, 'lat': 40.99152755737305}",Kadikoy Historic Center
Q1463961,İstanbul Modern,719.34203369,3,,Q1463961,"museums,cultural,interesting_places,art_galleries","{'lon': 28.98294448852539, 'lat': 41.0260009765625}",Galata Tower
Q1247291,Forum of Theodosius,719.55985858,3,,Q1247291,"historic,archaeology,interesting_places,other_archaeological_sites","{'lon': 28.963611602783203, 'lat': 41.00972366333008}",Suleymaniye
N5112732265,II.  Bayezid Turkish Bath Culture Museum,719.78703116,3,node/5112732265,Q68217803,"cultural,museums,interesting_places,other_museums","{'lon': 28.9615535736084, 'lat': 41.009944915771484}",Suleymaniye
N6373080188,Nusretiye Clock Tower,721.8063202,3,node/6373080188,Q7070378,"towers,architecture,interesting_places,clock_towers","{'lon': 28.982908248901367, 'lat': 41.02655792236328}",Galata Tower
W237058770,Kadıköy Fransız Kilisesi,744.28545822,3,way/237058770,Q31188348,"religion,churches,interesting_places,catholic_churches","{'lon': 29.025562286376953, 'lat': 40.984222412109375}",Kadikoy Historic Center
W498861882,Nusretiye Camii,759.73032176,3,way/498861882,Q614237,"religion,mosques,interesting_places","{'lon': 28.983144760131836, 'lat': 41.02741241455078}",Galata Tower
W235253304,Church of the Assumption,759.89519238,3,way/235253304,Q31188348,"religion,churches,interesting_places,catholic_churches","{'lon': 29.025196075439453, 'lat': 40.984107971191406}",Kadikoy Historic Center
R7328116,Laleli Camii,767.95345739,3,relation/7328116,Q590900,"religion,mosques,interesting_places","{'lon': 28.956668853759766, 'lat': 41.01008605957031}",Fatih / Valens Aqueduct
Q2058733,Defterdar Mosque,783.40472851,3,,Q2058733,"religion,mosques,interesting_places","{'lon': 28.937599182128906, 'lat': 41.04199981689453}",Eyup / Pierre Loti
W403376607,Fatih Sultan Mehmet Bridge,809.20690039,3,way/403376607,Q369967,"bridges,architecture,interesting_places,suspension_bridges","{'lon': 29.061382293701172, 'lat': 41.09130859375}",Rumeli Hisari
W316903985,Pertevniyal Valide Sultan Mosque,831.95189212,3,way/316903985,Q2719785,"religion,mosques,interesting_places","{'lon': 28.952899932861328, 'lat': 41.0100212097168}",Fatih / Valens Aqueduct
N5081274335,Pertevniyal Valide Sultan Mosque,832.3305229,3,node/5081274335,Q2719785,"religion,mosques,interesting_places","{'lon': 28.952903747558594, 'lat': 41.01001739501953}",Fatih / Valens Aqueduct
N415068999,Anadoluhisarı,837.4887906,3,node/415068999,Q81650,"fortifications,historic,cultural,museums,interesting_places,other_museums,other_fortifications","{'lon': 29.066532135009766, 'lat': 41.083274841308594}",Rumeli Hisari
W525436004,Anadoluhisarı,847.4273181,3,way/525436004,Q81650,"fortifications,historic,cultural,museums,interesting_places,other_museums,other_fortifications","{'lon': 29.066640853881836, 'lat': 41.08323287963867}",Rumeli Hisari
R8018249,Maçka Park,851.28259849,3,relation/8018249,Q6098591,"urban_environment,gardens_and_parks,cultural,interesting_places","{'lon': 28.993274688720703, 'lat': 41.044410705566406}",Dolmabahce
W315742592,Vasat Atik Ali Pasha Mosque,852.634583,3,way/315742592,Q6022200,"religion,mosques,interesting_places","{'lon': 28.941776275634766, 'lat': 41.02490997314453}",Balat / Fener
W530509576,Palace of the Porphyrogenitus,893.39900097,3,way/530509576,Q1472490,"palaces,architecture,historic_architecture,interesting_places,destroyed_objects","{'lon': 28.94047737121582, 'lat': 41.03369140625}",Balat / Fener
N5112749749,Palace of the Porphyrogenitus,898.11572706,3,node/5112749749,Q1472490,"palaces,architecture,historic_architecture,interesting_places","{'lon': 28.9404354095459, 'lat': 41.033721923828125}",Balat / Fener
Q647228,"Edirnekapı, Istanbul",899.57131163,3,,Q647228,"fortifications,historic,interesting_places,other_fortifications","{'lon': 28.939167022705078, 'lat': 41.03111267089844}",Balat / Fener
Q6374536,"Kasim Aga Mosque, Istanbul",903.19869023,3,,Q6374536,"religion,mosques,interesting_places","{'lon': 28.93899917602539, 'lat': 41.02899932861328}",Balat / Fener
W403116669,Anatolian Castle,903.35608245,3,way/403116669,Q81650,"fortifications,historic,cultural,museums,interesting_places,castles,other_museums","{'lon': 29.066884994506836, 'lat': 41.08208465576172}",Rumeli Hisari
N3597084430,Anadoluhisarı,905.13263539,3,node/3597084430,Q81650,"religion,other_temples,fortifications,historic,cultural,museums,interesting_places,other_museums,other_fortifications","{'lon': 29.0667781829834, 'lat': 41.08182907104492}",Rumeli Hisari
N5113609520,Vefa Stadium,913.00528843,3,node/5113609520,Q17989029,"sport,historic,archaeology,interesting_places,other_archaeological_sites,stadiums","{'lon': 28.939119338989258, 'lat': 41.02785873413086}",Balat / Fener
Q879941,Palace of Blachernae,917.8405356,3,,Q879941,"palaces,architecture,historic_architecture,interesting_places","{'lon': 28.94029998779297, 'lat': 41.03390121459961}",Balat / Fener
N409151055,Haydarpaşa Terminal,929.02542596,3,node/409151055,Q800973,"industrial_facilities,abandoned_railway_stations,interesting_places","{'lon': 29.017623901367188, 'lat': 40.99607467651367}",Kadikoy Historic Center
N8204998817,Aynalıkavak Palace,969.46819451,3,node/8204998817,Q793169,"palaces,architecture,historic_architecture,interesting_places","{'lon': 28.955448150634766, 'lat': 41.03726577758789}",Balat / Fener
N8582643114,Anadoluhisarı,976.18932441,3,node/8582643114,Q81650,"fortifications,historic,cultural,museums,interesting_places,other_museums,other_fortifications","{'lon': 29.068368911743164, 'lat': 41.08409118652344}",Rumeli Hisari
W235271665,All Saints Moda English Church,982.95499876,3,way/235271665,Q20476315,"religion,churches,interesting_places,other_churches","{'lon': 29.025239944458008, 'lat': 40.982086181640625}",Kadikoy Historic Center
W230687140,Küçüksu Palace,991.08516983,3,way/230687140,Q1755906,"cultural,museums,interesting_places,other_museums","{'lon': 29.06487464904785, 'lat': 41.07839584350586}",Rumeli Hisari
Q105702718,Sineperver Valide Sultan Fountain,1019.85558304,3,,Q105702718,"fountains,historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments","{'lon': 28.941251754760742, 'lat': 41.02311325073242}",Balat / Fener
R4429629,Walls of Constantinople,1020.32218241,3,relation/4429629,Q89917,"architecture,historic_architecture,fortifications,defensive_walls,historic,interesting_places,destroyed_objects","{'lon': 28.938077926635742, 'lat': 41.0323371887207}",Balat / Fener
Q337381,Chalcedon,1027.8227368,3,,Q337381,"settlements,historic,archaeology,interesting_places","{'lon': 29.03333282470703, 'lat': 40.983333587646484}",Kadikoy Historic Center
Q2331925,Battle of Chalcedon,1027.83685015,3,,Q2331925,"battlefields,historic,historical_places,interesting_places","{'lon': 29.03333282470703, 'lat': 40.983333587646484}",Kadikoy Historic Center
W237868337,Atik Valide Camii,1041.89967762,3,way/237868337,Q2483550,"religion,mosques,interesting_places","{'lon': 29.02358627319336, 'lat': 41.01889419555664}",Uskudar Waterfront
W333935175,Atik Valide Cami,1065.89338975,3,way/333935175,Q2483550,"religion,mosques,interesting_places","{'lon': 29.023746490478516, 'lat': 41.01871109008789}",Uskudar Waterfront
W474779384,Ataturk Cultural Center,1084.98637854,3,way/474779384,Q551685,"cultural,theatres_and_entertainments,interesting_places,other_theatres","{'lon': 28.988290786743164, 'lat': 41.03652572631836}",Dolmabahce
W401296646,Beth Yaakov Sinagogu,1112.92560267,3,way/401296646,Q4897165,"religion,synagogues,interesting_places","{'lon': 29.029705047607422, 'lat': 41.03620147705078}",Beylerbeyi Palace
Q5058732,Cemil Topuzlu Open-Air Theatre,1144.81180541,3,,Q5058732,"concert_halls,cultural,theatres_and_entertainments,interesting_places","{'lon': 28.990278244018555, 'lat': 41.045833587646484}",Dolmabahce
W4471925,Taksim Gezi Park,1150.09920618,3,way/4471925,Q6048634,"urban_environment,gardens_and_parks,cultural,interesting_places","{'lon': 28.987030029296875, 'lat': 41.03883361816406}",Dolmabahce
W498861881,Molla Celebi Camii (Findikli Camii),1158.03496166,3,way/498861881,Q2719788,"religion,mosques,interesting_places","{'lon': 28.990537643432617, 'lat': 41.032161712646484}",Dolmabahce
Q4450209,Taksim Stadium,1170.17605296,3,,Q4450209,"sport,architecture,historic_architecture,interesting_places,destroyed_objects,stadiums","{'lon': 28.986818313598633, 'lat': 41.03845977783203}",Dolmabahce
W401244752,Aya Pandeleimon Rum Ortodoks Kilisesi,1177.43629236,3,way/401244752,Q97403030,"religion,churches,interesting_places,other_churches","{'lon': 29.030475616455078, 'lat': 41.03459548950195}",Beylerbeyi Palace
W697224044,Teşvikiye Mosque,1251.77292341,3,way/697224044,Q2719784,"religion,mosques,interesting_places","{'lon': 28.994291305541992, 'lat': 41.049373626708984}",Dolmabahce
Q7813639,Toklu Dede Mosque,1253.00147015,3,,Q7813639,"religion,mosques,interesting_places","{'lon': 28.9424991607666, 'lat': 41.03950119018555}",Eyup / Pierre Loti
Q27926432,Tombili,1256.87317116,3,,Q27926432,"historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments","{'lon': 29.039587020874023, 'lat': 40.9857292175293}",Kadikoy Historic Center
W53602038,Haidar Pasha Cemetery,1263.60339156,3,way/53602038,Q5686262,"cemeteries,historic,burial_places,interesting_places","{'lon': 29.01869010925293, 'lat': 41.000709533691406}",Kadikoy Historic Center
N6373152085,Prison of Anemas,1263.69377441,3,node/6373152085,Q3081830,"other,unclassified_objects,interesting_places,tourist_object","{'lon': 28.940797805786133, 'lat': 41.038414001464844}",Eyup / Pierre Loti
N5524863624,Ihlamur Palace,1290.31586588,3,node/5524863624,Q2330055,"palaces,architecture,historic_architecture,interesting_places","{'lon': 28.999774932861328, 'lat': 41.05079650878906}",Dolmabahce
W59595672,Harbiye Muhsin Ertuğrul Stage,1295.18003167,3,way/59595672,Q16892078,"cultural,theatres_and_entertainments,interesting_places,other_theatres","{'lon': 28.988807678222656, 'lat': 41.04661178588867}",Dolmabahce
R4473230,Istanbul Taksim Square,1310.35402417,3,relation/4473230,Q736072,"squares,interesting_places,cultural,urban_environment","{'lon': 28.98520278930664, 'lat': 41.03795623779297}",Dolmabahce
W544151676,Surp Haç Ermeni Lisesi,1323.47280956,3,way/544151676,Q2368617,"religion,monasteries,interesting_places","{'lon': 29.030824661254883, 'lat': 41.024383544921875}",Uskudar Waterfront
