canonical_poi_id,canonical_name,family_name,category_clean,lat,lon,cluster_id,importance_score,member_count,member_poi_ids,source_names,group_method,wiki_title,wiki_match_type,wiki_match_quality,besttime_supported,notes
cp_5244807883,Yahya Kemal Museum,Yahya Kemal Museum,museum,41.008741,28.967614,12,0.7146092979466501,1,5244807883,Yahya Kemal Museum,single_seed,,,,,
cp_586013144,Domabahçe Sarayı Mefruşat Dairesi,Domabahçe Sarayı Mefruşat Dairesi,historic,41.0385531,28.9970682,12,0.7143494095438884,1,586013144,Domabahçe Sarayı Mefruşat Dairesi,single_seed,,,,,
cp_11813287018,Sohum Kalesi Kitâbesi,Sohum Kalesi Kitâbesi,historic,41.0123834,28.9840355,12,0.7131131374033745,1,11813287018,Sohum Kalesi Kitâbesi,single_seed,,,,,
cp_5478162925,Sarayburnu Atatürk Monument,Sarayburnu Atatürk Monument,historic,41.016263,28.9861325,12,0.7128245704924515,1,5478162925,Sarayburnu Atatürk Monument,single_seed,,,,,
cp_5244805876,Pera Spa,Pera Spa,attraction,41.0105966,28.9731818,12,0.7126906286066466,1,5244805876,Pera Spa,single_seed,,,,,
cp_1153684927,Column of Constantine,Column of Constantine,attraction,41.008553,28.9712828,12,0.7123782383664277,1,1153684927,Column of Constantine,single_seed,,,,,
cp_1488385517,Sarayburnu Arkeopark,Sarayburnu Arkeopark,historic,41.0170598,28.9847081,12,0.7114292675061363,1,1488385517,Sarayburnu Arkeopark,single_seed,,,,,
cp_330344403,İshakpaşa Hammam,İshakpaşa Hammam,historic,41.0065719,28.9812065,12,0.710768405013746,1,330344403,İshakpaşa Hammam,single_seed,,,,,
cp_1900616737,Ancient Hippodrome Substructure,Ancient Hippodrome Substructure,historic,41.004072,28.973413,12,0.70959000807894,1,1900616737,Ancient Hippodrome Substructure,single_seed,,,,,
cp_9393008312,Cistern Nakkas,Cistern Nakkas,attraction,41.0041016,28.9751527,12,0.7089472486292503,1,9393008312,Cistern Nakkas,single_seed,,,,,
