poi_id,canonical_poi_id,canonical_name,family_name,category_clean,cluster_id,importance_score,member_role,group_method,canonical_seed_name
569707977,cp_569707977,Cat Museum,Cat Museum,museum,12,0.6920423259915169,primary,single_seed,Cat Museum
32396296,cp_32396296,Baghdad Kiosk,Baghdad Kiosk,historic,12,0.6904149314171952,primary,single_seed,Baghdad Kiosk
194486642,cp_194486642,Sofa Pavilion,Sofa Pavilion,historic,12,0.6904057022331407,primary,single_seed,Sofa Pavilion
1807703751,cp_1807703751,Istanbul Photography Museum,Istanbul Photography Museum,museum,12,0.6886192156294152,primary,single_seed,Istanbul Photography Museum
260976707,cp_260976707,İşbank Museum,İşbank Museum,museum,12,0.6885229138186916,primary,single_seed,İşbank Museum
3374681017,cp_499944905,Atik Ali Paşa Medresesi,Atik Ali Paşa Medresesi,historic,12,0.6872196114313097,member,auto_grouped,Atik Ali Paşa Medresesi
13385771381,cp_13385771381,Tomb of Mehmed the Hunter,Tomb of Mehmed the Hunter,historic,12,0.6867526648720581,primary,single_seed,Tomb of Mehmed the Hunter
1620494633,cp_1620494633,Tomb of Hatice Turhan Sultan,Tomb of Hatice Turhan Sultan,historic,12,0.6867309156333706,primary,single_seed,Tomb of Hatice Turhan Sultan
13385771383,cp_13385771383,V. Murat Türbesi,V. Murat Türbesi,historic,12,0.6867189612860543,primary,single_seed,V. Murat Türbesi
18161438,cp_18161438,Nuruosmaniye Mosque,Nuruosmaniye Mosque,attraction,12,0.6866720712613593,primary,single_seed,Nuruosmaniye Mosque
3400112453,cp_3400112453,Yedi Kule Hisarı Müzesi,Yedi Kule Hisarı Müzesi,museum,17,0.6832955060354509,primary,single_seed,Yedi Kule Hisarı Müzesi
32396254,cp_32396254,Grand Kiosk,Grand Kiosk,historic,12,0.6829485914539596,primary,single_seed,Grand Kiosk
1272160893,cp_1272160893,Gülhane Kapısı,Gülhane Kapısı,historic,12,0.6828882476466029,primary,single_seed,Gülhane Kapısı
9597969110,cp_9597969110,Illusion Museum,Illusion Museum,museum,12,0.679951517534487,primary,single_seed,Illusion Museum
1335767641,cp_1335767641,Tekfur Sarayı Müzesi,Tekfur Sarayı Müzesi,museum,12,0.6795718201314302,primary,single_seed,Tekfur Sarayı Müzesi
23236783,cp_23236783,Galata Tower,Galata Tower,attraction,12,0.6791555268577218,primary,single_seed,Galata Tower
5506396363,cp_5506396363,The Jewish Museum of Turkey,The Jewish Museum of Turkey,museum,12,0.6771078797658847,primary,single_seed,The Jewish Museum of Turkey
112174319,cp_112174319,Sepetçiler Pavilion,Sepetçiler Pavilion,museum,12,0.6769751517558428,primary,single_seed,Sepetçiler Pavilion
110234148,cp_110234148,The Museum of Turkish Calligraphic Art,The Museum of Turkish Calligraphic Art,museum,12,0.6764537022502073,primary,single_seed,The Museum of Turkish Calligraphic Art
9217070484,cp_9217070484,Türk Eczacılık Tarihi İhtisas Müzesi,Türk Eczacılık Tarihi İhtisas Müzesi,museum,12,0.6763581106854699,primary,single_seed,Türk Eczacılık Tarihi İhtisas Müzesi
333112194,cp_333112194,Sultan 1. Abdülhamit Türbesi,Sultan 1. Abdülhamit Türbesi,historic,12,0.6762663213923491,primary,single_seed,Sultan 1. Abdülhamit Türbesi
776287486,cp_776287486,Otluk Kapısı,Otluk Kapısı,historic,12,0.6734106155233212,primary,single_seed,Otluk Kapısı
13357454623,cp_13357454623,Nimelceyş Kabiri,Nimelceyş Kabiri,historic,12,0.6734037956995331,primary,single_seed,Nimelceyş Kabiri
13357454625,cp_13357454625,Bizans Lahdi,Bizans Lahdi,historic,12,0.6733065064221869,primary,single_seed,Bizans Lahdi
498861869,cp_498861869,Naval Museum,Naval Museum,museum,12,0.6728172297152518,primary,single_seed,Naval Museum
3374678647,cp_3374678647,Koca Sinan Paşa Külliyesi,Koca Sinan Paşa Külliyesi,historic,12,0.6722247030540077,primary,single_seed,Koca Sinan Paşa Külliyesi
3374678648,cp_3374678648,Kara Mustafa Paşa Külliyesi,Kara Mustafa Paşa Külliyesi,historic,12,0.6718308526207518,primary,single_seed,Kara Mustafa Paşa Külliyesi
12248507560,cp_12248507560,Dolmabahçe Clock Museum,Dolmabahçe Clock Museum,museum,12,0.6717003774745904,primary,single_seed,Dolmabahçe Clock Museum
225470886,cp_225470886,Yeni Daire,Yeni Daire,historic,12,0.6712048601320623,primary,single_seed,Yeni Daire
326370631,cp_326370631,Saray Tiyatrosu ve Sahne Sanatları Müzesi,Saray Tiyatrosu ve Sahne Sanatları Müzesi,museum,10,0.6711540069592334,primary,single_seed,Saray Tiyatrosu ve Sahne Sanatları Müzesi
175518810,cp_175518810,Elvis Müzik,Elvis Müzik,attraction,12,0.6703840240478743,primary,single_seed,Elvis Müzik
1423624917,cp_1423624917,Camlı Köşk,Camlı Köşk,museum,12,0.6696588961732729,primary,single_seed,Camlı Köşk
9217099231,cp_9217099231,İstanbul Üniversitesi Rıdvan Çelikel Arkeoloji Müzesi,İstanbul Üniversitesi Rıdvan Çelikel Arkeoloji Müzesi,museum,12,0.668171244159425,primary,single_seed,İstanbul Üniversitesi Rıdvan Çelikel Arkeoloji Müzesi
1465652948,cp_1465652948,Karabaş Hazretleri Türbesi,Karabaş Hazretleri Türbesi,historic,12,0.6681106852978391,primary,single_seed,Karabaş Hazretleri Türbesi
326372295,cp_326372295,Yıldız Sarayı Müze Müdürlüğü,Yıldız Sarayı Müze Müdürlüğü,museum,10,0.6680331141098214,primary,single_seed,Yıldız Sarayı Müze Müdürlüğü
1377881422,cp_1377881422,Yedekçiler Mescidi,Yedekçiler Mescidi,historic,12,0.6679372964518958,primary,single_seed,Yedekçiler Mescidi
