poi_id,name,name_en,category,category_clean,lat,lon,distance_to_center_km,nearby_count_500m,cluster_id,category_score,landmark_name_score,centrality_score,density_score,importance_score,is_park,is_historic,is_museum,is_attraction,is_religious,match_name,wiki_matched,wiki_title,wiki_pageid,wiki_pageviews_total,wiki_pageviews_avg,wiki_pageviews_max,wiki_popularity_score,importance_with_wiki
1184924695,Yerebatan Sarnıcı,,historic:cistern,historic,41.0088628,28.9776419,0.0973556824763274,61,12,0.82,0.1,0.9991971564729992,0.8970588235294118,0.7850238528242527,0,1,0,0,0,Yerebatan Sarnıcı,False,,,,,,0.0,0.5495166969769768
5108843098,Cevri Kalfa Çeşmesi,,tourism:attraction,attraction,41.0080019,28.9767691,0.1386098002008802,64,12,0.78,0.1,0.9986971653750568,0.9411764705882352,0.7839032672595759,0,0,0,1,0,Cevri Kalfa Çeşmesi,False,,,,,,0.0,0.5487322870817031
1154702450,Şerefiye Sarnıcı,Theodosia Cistern,tourism:museum,museum,41.0074148,28.9723954,0.511355246124009,58,12,0.85,0.1,0.9941795701617868,0.8529411764705882,0.781489165166183,0,0,1,0,0,Theodosia Cistern,True,Cistern of Aspar,43720859.0,9149.0,6.262149212867898,304.0,0.0014251171722335645,0.5474699507679981
1379168992,Katip Sinan Camii,,historic:ruins,historic,41.0059631,28.9707766,0.686343289539622,52,12,0.82,0.29,0.9920587524403092,0.7647058823529411,0.778294096320328,0,1,0,0,1,Katip Sinan Camii,True,Katip Sinan Qelebi Mosque,24467325.0,1681.0,1.3163664839467502,118.0,0.0002995739030571718,0.5448957395951467
5108843109,Hacı Beşir Ağa Çeşmesi,,tourism:attraction,attraction,41.0082703,28.977987,0.0355253264403519,62,12,0.78,0.1,0.999946527185688,0.9117647058823528,0.7769251346262946,0,0,0,1,0,Hacı Beşir Ağa Çeşmesi,False,,,,,,0.0,0.5438475942384062
25512790,Sultanahmet Meydanı,Sultan Ahmed Square,tourism:attraction,attraction,41.0065205,28.9760528,0.2714178254645006,62,12,0.78,0.1,0.9970875604669972,0.9117647058823528,0.7760674446106873,0,0,0,1,0,Sultan Ahmed Square,True,Sultan Ahmed,9048628.0,7417.0,5.157858136300417,32.0,0.0011738066200789195,0.5435993532135047
1272157516,SARNIÇ CISTERN,,historic:ruins,historic,41.0120848,28.9838441,0.6286998713560744,40,12,0.82,0.55,0.992757378360252,0.5882352941176471,0.7733860370374873,0,1,0,0,0,SARNIÇ CISTERN,True,Cistern of Pulcheria,76380070.0,12160.0,41.93103448275862,10418.0,0.009542512523991757,0.5442329796834386
1120852418,Örme Dikilitaş,The Walled Obelisk,historic:monument,historic,41.0054052,28.9748422,0.430932393130965,58,12,0.82,0.1,0.99515427796759,0.8529411764705882,0.7727815775079241,0,1,0,0,0,The Walled Obelisk,True,Walled Obelisk,7024178.0,35416.0,24.240930869267626,61.0,0.005516662998341231,0.5426021031550492
1377906859,Üçler Mescidi,,historic:ruins,historic,41.0055263,28.9743308,0.4527448438750298,58,12,0.82,0.1,0.9948899157221252,0.8529411764705882,0.7727022688342846,0,1,0,0,0,Üçler Mescidi,False,,,,,,0.0,0.5408915881839992
11006008339,Yerebatan Sarnıcı,Basilica Cistern (Exit),tourism:attraction,attraction,41.0084795,28.9783826,0.0311133003347505,60,12,0.78,0.1,1.0,0.8823529411764706,0.7695882352941177,0,0,0,1,0,Basilica Cistern (Exit),False,,,,,,0.0,0.5387117647058823
415157636,Yılanlı Sütun,Serpent Column,tourism:attraction,attraction,41.0056649,28.9751101,0.3945517681069771,60,12,0.78,0.1,0.9955952033746251,0.8823529411764706,0.7682667963065052,0,0,0,1,0,Serpent Column,True,Serpent Column,10255756.0,151308.0,103.564681724846,370.0,0.02356887409512692,0.5448574196430916
1555271,Ayasofya-i Kebir Câmi-i Şerifi,,tourism:museum,museum,41.0084634,28.9798633,0.1262295172030575,54,12,0.85,0.1,0.9988472117614624,0.7941176470588235,0.7681835752931446,0,0,1,0,0,Ayasofya-i Kebir Câmi-i Şerifi,True,Ayasofya Mosque,18884056.0,5323.0,3.843321299638989,266.0,0.0008746491015052227,0.5379908974356528
32396096,Saray Mutfakları,Palace Kitchens,historic:building,historic,41.0116668,28.984489,0.6400267758861231,38,12,0.82,0.55,0.9926200986959508,0.5588235294117647,0.7659919119617264,0,1,0,0,0,Palace Kitchens,False,,,,,,0.0,0.5361943383732085
303491953,Alay Köşkü,,tourism:museum,museum,41.0110425,28.978391,0.3160729177005624,53,12,0.85,0.1,0.9965463502841762,0.7794117647058824,0.7638168462617234,0,0,1,0,0,Alay Köşkü,False,,,,,,0.0,0.5346717923832064
