poi_id,otm_xid,name,display_name_en,kinds,category_clean,wikidata,wikipedia_url,lat,lon,query_area,dist_from_query_center_m,rate,address_raw,preview_image,source,needs_review,candidate_count_same_key,wiki_title,wiki_match_method,wiki_match_score,wiki_has_page,wiki_pageviews_total,wiki_pageviews_avg,wiki_pageviews_max,wiki_days_observed,wiki_popularity_score
otm_N663391254,N663391254,Mausoleum of Mahmud II,Mausoleum of Mahmud II,"historic,monuments_and_memorials,burial_places,interesting_places,mausoleums,monuments",historic,Q4273774,,41.008445739746094,28.972728729248047,Sultanahmet Core,481.54649979,3,,,opentripmap,0,2,Mahmud II,search,0.5,1,248567.0,681.0054794520548,1163.0,365,0.15369647038600495
otm_R8018249,R8018249,Maçka Park,Maçka Park,"urban_environment,gardens_and_parks,cultural,interesting_places",attraction,Q6098591,,41.044410705566406,28.993274688720703,Dolmabahce,851.28259849,3,,,opentripmap,0,1,Maçka Park,search,1.0,1,2445.0,6.698630136986301,28.0,365,0.0015118172166610295
otm_N8615579901,N8615579901,Mehmed Kemal Bey  sepulchral monument,Mehmed Kemal Bey  sepulchral monument,"historic,monuments_and_memorials,interesting_places,monuments",historic,Q6087513,,40.99152755737305,29.034744262695312,Kadikoy Historic Center,713.98421749,3,,,opentripmap,0,1,,,,0,0.0,0.0,0.0,0,0.0
otm_W333931123,W333931123,Mihrimah Sultan Mosque,Mihrimah Sultan Mosque,"religion,mosques,interesting_places",religious,Q2537376,,41.02674102783203,29.016056060791016,Uskudar Waterfront,126.94815319,3,,,opentripmap,0,4,Mihrimah Sultan Mosque,search,1.0,1,85.0,0.3441295546558704,2.0,247,5.2558062746906955e-05
otm_N1908677124,N1908677124,Milion,Milion,"milestones,architecture,historic_architecture,historic,monuments_and_memorials,interesting_places,destroyed_objects,monuments",historic,Q1187329,,41.00806427001953,28.977983474731445,Hagia Sophia / Basilica Cistern,161.46893638,3,,,opentripmap,0,2,Milion,search,1.0,1,12805.0,35.082191780821915,152.0,365,0.007917717570284042
otm_W498861881,W498861881,Molla Celebi Camii (Findikli Camii),Molla Celebi Camii (Findikli Camii),"religion,mosques,interesting_places",religious,Q2719788,,41.03216171264648,28.990537643432617,Dolmabahce,1158.03496166,3,,,opentripmap,0,1,,,,0,0.0,0.0,0.0,0,0.0
otm_W137519649,W137519649,Molla Zeyrek Mosque,Molla Zeyrek Mosque,"religion,mosques,churches,monasteries,interesting_places,other_churches",religious,Q197094,,41.01970672607422,28.95724868774414,Fatih / Valens Aqueduct,307.24056961,3,,,opentripmap,0,1,Zeyrek Mosque,search,0.6666666666666666,1,18495.0,50.67123287671233,88.0,365,0.011436016123576991
otm_W331196574,W331196574,Mosque with the Spiral Minaret,Mosque with the Spiral Minaret,"religion,mosques,interesting_places",religious,Q1590626,,41.01451873779297,28.956363677978516,Fatih / Valens Aqueduct,275.92635755,3,,,opentripmap,0,1,Spiral minaret,search,0.4,1,0.0,0.0,0.0,0,0.0
otm_Q105840441,Q105840441,Mısırlı Osman Ağa Fountain,Mısırlı Osman Ağa Fountain,"fountains,historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments",historic,Q105840441,https://tr.wikipedia.org/wiki/M%C4%B1s%C4%B1rl%C4%B1%20Osman%20A%C4%9Fa%20%C3%87e%C5%9Fmesi%20%28Kad%C4%B1k%C3%B6y%29,40.99107360839844,29.026735305786133,Kadikoy Historic Center,41.4796303,3,"{'city': 'Osmanağa Mahallesi', 'road': 'Söğütlüçeşme Caddesi', 'town': 'Kadıköy', 'state': 'Marmara Bölgesi', 'country': 'Türkiye', 'postcode': '34714', 'country_code': 'tr'}",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/M%C4%B1s%C4%B1rl%C4%B1_Osman_A%C4%9Fa_%C3%87e%C5%9Fmesi%2C_Kad%C4%B1k%C3%B6y-2.jpg/400px-M%C4%B1s%C4%B1rl%C4%B1_Osman_A%C4%9Fa_%C3%87e%C5%9Fmesi%2C_Kad%C4%B1k%C3%B6y-2.jpg,opentripmap,0,1,Mısırlı Osman Ağa Çeşmesi (Kadıköy),from_url,1.0,1,0.0,0.0,0.0,0,0.0
otm_W498861869,W498861869,Naval Museum,Naval Museum,"national_museums,cultural,museums,interesting_places,museums_of_science_and_technology,maritime_museums,military_museums",museum,Q11787082,,41.04105758666992,29.005691528320312,Dolmabahce,467.7161802,3,,,opentripmap,0,1,Central Naval Museum,search,0.6666666666666666,1,4470.0,12.246575342465754,358.0,365,0.0027639357703373424
otm_N768706518,N768706518,Neve Shalom Synagogue,Neve Shalom Synagogue,"religion,synagogues,interesting_places",religious,Q747244,,41.02669525146485,28.97247314453125,Galata Tower,196.18155228,3,,,opentripmap,0,1,Neve Shalom Synagogue,search,1.0,1,7084.0,19.40821917808219,159.0,365,0.004380250782342222
otm_Q20473668,Q20473668,Nevşehirli Damat İbrahim Paşa Fountain,Nevşehirli Damat İbrahim Paşa Fountain,"fountains,historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments",historic,Q20473668,,41.02438735961914,29.012451171875,Uskudar Waterfront,279.36067346,3,,,opentripmap,0,1,Nevşehirli Damat Ibrahim Pasha,search,0.42857142857142855,1,5732.0,15.704109589041096,51.0,365,0.00354426841959142
otm_R7574356,R7574356,New Mosque,New Mosque,"religion,mosques,interesting_places",religious,Q911720,,41.01690673828125,28.972124099731445,Eminonu / Spice Bazaar,167.98856242,3,,,opentripmap,0,2,"New Mosque, Istanbul",search,0.6666666666666666,1,24753.0,67.81643835616438,132.0,365,0.01530552620204927
otm_W822870615,W822870615,New Mosque Square,New Mosque Square,"religion,mosques,interesting_places",religious,Q911720,,41.01670455932617,28.97157859802246,Eminonu / Spice Bazaar,118.22234564,3,,,opentripmap,0,2,Namazgah Mosque,search,0.25,1,24637.0,67.4986301369863,1599.0,365,0.01523379990465349
otm_W498861882,W498861882,Nusretiye Camii,Nusretiye Camii,"religion,mosques,interesting_places",religious,Q614237,,41.02741241455078,28.983144760131836,Galata Tower,759.73032176,3,,,opentripmap,0,1,Nusretiye Mosque,search,0.3333333333333333,1,6462.0,17.704109589041096,38.0,365,0.003995649429064856
otm_N6373080188,N6373080188,Nusretiye Clock Tower,Nusretiye Clock Tower,"towers,architecture,interesting_places,clock_towers",attraction,Q7070378,,41.02655792236328,28.982908248901367,Galata Tower,721.8063202,3,,,opentripmap,0,1,Nusretiye Clock Tower,search,1.0,1,1737.0,4.758904109589041,14.0,365,0.0010740394704867927
otm_N415157637,N415157637,Obelisk of Theodosius,Obelisk of Theodosius,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",historic,Q763854,,41.00590896606445,28.975379943847656,Sultanahmet Core,132.10370913,3,,,opentripmap,0,1,Obelisk of Theodosius,search,1.0,1,61831.0,169.4,330.0,365,0.03823197150240005
otm_W24533505,W24533505,Orhan Kemal Museum,Orhan Kemal Museum,"cultural,museums,interesting_places,other_museums",museum,Q20949672,,41.03057861328125,28.98360824584961,Istiklal / Pera,605.28799881,3,,,opentripmap,0,1,Orhan Kemal Literature Museum,search,0.75,1,675.0,1.8543956043956045,11.0,364,0.00041737285122543763
otm_N6919989286,N6919989286,Ortaköy Mosque,Ortaköy Mosque,"religion,mosques,interesting_places",religious,Q176380,https://en.wikipedia.org/wiki/Ortak%C3%B6y%20Mosque,41.04729080200195,29.02560806274414,Ortakoy,32.9746791,3,"{'city': 'Mecidiye Mahallesi', 'town': 'Beşiktaş', 'house': 'Ortaköy Meydanı', 'state': 'Marmara Bölgesi', 'country': 'Türkiye', 'postcode': '34347', 'pedestrian': 'İskele Sokağı', 'country_code': 'tr'}",https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Istanbul_asv2020-02_img61_Ortak%C3%B6y_Mosque.jpg/333px-Istanbul_asv2020-02_img61_Ortak%C3%B6y_Mosque.jpg,opentripmap,0,2,Ortaköy Mosque,from_url,1.0,1,30014.0,82.23013698630137,218.0,365,0.01855856112100783
otm_W102190099,W102190099,Osman Ağa Mosque,Osman Ağa Mosque,"religion,mosques,interesting_places",religious,Q6029146,https://tr.wikipedia.org/wiki/Osmana%C4%9Fa%20Camii,40.990840911865234,29.026123046875,Kadikoy Historic Center,16.34999761,3,"{'city': 'Osmanağa Mahallesi', 'town': 'Kadıköy', 'state': 'Marmara Bölgesi', 'country': 'Türkiye', 'postcode': '34714', 'pedestrian': 'Yağlıkçı İsmail Sokağı', 'country_code': 'tr'}",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/2021-04-04_Osmanaga-camii-Kadikoy.jpg/400px-2021-04-04_Osmanaga-camii-Kadikoy.jpg,opentripmap,0,2,Osmanağa Camii,from_url,1.0,1,0.0,0.0,0.0,0,0.0
otm_Q879941,Q879941,Palace of Blachernae,Palace of Blachernae,"palaces,architecture,historic_architecture,interesting_places",historic,Q879941,,41.03390121459961,28.94029998779297,Balat / Fener,917.8405356,3,,,opentripmap,0,1,Palace of Blachernae,search,1.0,1,25596.0,70.12602739726027,183.0,365,0.015826778518468594
