poi_id_1,name_1,name_en_1,category_1,poi_id_2,name_2,name_en_2,category_2,cluster_id,distance_km,root_overlap_score,same_category,importance_1,importance_2,group_decision,group_type,family_name,entity_name,notes
110016998,Seraskerlik Kapısı,,historic,110016988,İstanbul Üniversitesi Kapı Köşkü,,historic,12,0.047903449145301015,0.5,1,0.6264977354558695,0.6263409450360584,,,,,
2996272,Agavat Dairesi (Deniz Müzesi K. Tarih Arşivi),,historic,1043098720,Musahiban Dairesi,,historic,12,0.05321318343167571,0.5,1,0.6937651765556849,0.6564107854679812,,,,,
329063100,Sinan Paşa Türbesi,Tomb of Sinan Pasha,historic,5244807872,Karababa Türbesi,,historic,12,0.07000744056726656,0.5,1,0.7169761839515824,0.7024260330596697,,,,,
110313596,Şehzade Mehmet Kervansarayı,,historic,7656706,Şehzadebaşı Camii,The Şehzade Mosque,attraction,12,0.08672663670710737,0.5,0,0.7028605861821408,0.6552747371709069,,,,,
225470905,Kızlarağası Dairesi,,historic,225470921,Baltacılar Dairesi,,historic,12,0.09025790959525538,0.5,1,0.6637419776059456,0.6560912875959969,,,,,
498861861,Çırağan Sarayı,Ciragan Palace,historic,895150392,Çırağan Sarayı Geçidi,,historic,10,0.090528156065719,0.5,1,0.6398583135354863,0.6396316407341229,,,,,
13385771382,Sultan Abdulaziz Han kabri,,historic,111862615,Vezir Hanı,,museum,12,0.09204328470843376,0.5,0,0.7578610436970555,0.7298805790426722,,,,,
969327995,Revan Köşkü,Yerevan Kiosk,historic,32396254,Mecidiye Köşkü,Grand Kiosk,historic,12,0.09351689619864823,0.5,1,0.6978588286277544,0.6829485914539596,,,,,
1272160893,Gülhane Kapısı,,historic,13357454659,Hasbahçe Kapısı,,historic,12,0.10365863418896679,0.5,1,0.6828882476466029,0.66782165147115,,,,,
1271934199,Dolmabahçe Sarayı Saltanat Kapı,,historic,1423624921,Koltuk Kapısı,,historic,12,0.10731704422172916,0.5,1,0.7286787517548909,0.6608637993223796,,,,,
32396296,Bağdad Köşkü,Baghdad Kiosk,historic,32396254,Mecidiye Köşkü,Grand Kiosk,historic,12,0.10827502136611376,0.5,1,0.6904149314171952,0.6829485914539596,,,,,
3374678647,Koca Sinan Paşa Külliyesi,,historic,3374678648,Kara Mustafa Paşa Külliyesi,,historic,12,0.10988905095564598,0.5,1,0.6722247030540077,0.6718308526207518,,,,,
519572403,Nakşidil Valide Sultan Türbesi,,historic,331191334,Fâtih Sultan Mehmed Han Türbesi,Tomb of Sultan Muhammad Al-Fatih,historic,12,0.11078227677656279,0.5,1,0.6371092540655159,0.6183452696365977,,,,,
1154702450,Şerefiye Sarnıcı,Theodosia Cistern,museum,214800348,Binbirdirek Sarnıcı,,park,12,0.11428864423398216,0.5,0,0.781489165166183,0.6729314186689355,,,,,
2996272,Agavat Dairesi (Deniz Müzesi K. Tarih Arşivi),,historic,225470905,Kızlarağası Dairesi,,historic,12,0.1155530619875537,0.5,1,0.6937651765556849,0.6637419776059456,,,,,
23236783,Galata Kulesi,Galata Tower,attraction,708327982,Galata Surları,Galata Citywalls,historic,12,0.12343297241675623,0.5,0,0.6791555268577218,0.6202265386126733,,,,,
13084855510,Dolmabahçe Sarayı Deniz Kapısı,,historic,1423624921,Koltuk Kapısı,,historic,12,0.12881282995710464,0.5,1,0.7284865118906544,0.6608637993223796,,,,,
18055570,Sultanahmet Camii,Blue Mosque,attraction,25512790,Sultanahmet Meydanı,Sultan Ahmed Square,attraction,12,0.13359793011035626,0.5,1,0.8079814929979688,0.7760674446106873,,,,,
