poi_id,name,category,lat,lon,category_clean
5108843109,Hacı Beşir Ağa Çeşmesi,tourism:attraction,41.0082703,28.977987,attraction
5110342142,Molla Hüsrev cami Turbası,historic:tomb,41.0147778,28.959381,historic
5112723898,Hacı Beşir Ağa Çeşmesi,tourism:attraction,41.0036705,28.9287438,attraction
5112732265,Beyazıt Türk Hamam Kültürü Müzesi,tourism:museum,41.0099458,28.9615545,museum
5112749760,Abdullah El Ensari Türbesi,tourism:attraction,41.0332977,28.944349,attraction
5112750009,Ebuzer Gifari Türbesi,historic:tomb,41.0376062,28.9428599,historic
5112750831,İvaz Efendi Çeşmesi,historic:yes,41.0378888,28.9411463,historic
5112750839,Ebu Şeybe El-Hudri Türbesi,tourism:attraction,41.039341,28.9414828,attraction
5113470953,Kalburcu Mehmet Parki,leisure:park,41.0174102,28.9260313,park
5113470962,Kırımlı park,leisure:park,41.0165711,28.9243198,park
5113500256,Türk ve İslam Eserleri Müzesi,tourism:museum,41.0062801,28.974915,museum
5113592202,Molla Gorani Hazretlerinin Kabri,historic:tomb,41.0112305,28.9411363,historic
5113620677,Sahabe-i Kiramdan Abdurrahman Şami Türbesi,historic:tomb,41.0066904,28.9791454,historic
5113620695,İslam bilim ve teknoloji tarihi müzesi,tourism:museum,41.0132188,28.9789678,museum
5115933169,Tarihi Hacı Kadın Hamamı,tourism:attraction,40.9997863,28.9274893,attraction
5115935414,Şeyh Seyyid Seyfullah Hz.,historic:tomb,41.0071684,28.9269866,historic
5115939964,Türk Vakıf Hat Sanatları Müzesi,tourism:museum,41.01005,28.9631808,museum
5181982721,Dumankaya Adres Lobi,tourism:attraction,40.8623461,29.3343936,attraction
5184094322,Cumhuriyet Meydanı,historic:monument,40.9812405,28.8738949,historic
5209904925,Abdulmecit Efendi Köşkü,tourism:museum,41.0282408,29.0415462,museum
5244801843,Marmara Üniversitesi Cumhuriyet Müzesi ve Sanat Galerisi,tourism:museum,41.0051858,28.9743891,museum
5244801844,İstanbul Cumhuriyet Eğitim Müzesi,tourism:museum,41.0049596,28.9739331,museum
5244803053,Mehmet Efendi Çeşmesi,tourism:attraction,41.0031805,28.9720795,attraction
5244803054,Çoğalzade Rüstem Paşa Çeşmesi,tourism:attraction,41.0030429,28.9725515,attraction
5244805876,Pera Spa,tourism:attraction,41.0105966,28.9731818,attraction
5244807623,Türkiye Gazeteciler Cemiyeti Basın Müzesi,tourism:museum,41.0085619,28.9722162,museum
5244807872,Karababa Türbesi,historic:tomb,41.0083008,28.9692078,historic
5244807882,Merzifonlu Kara Mustafa Paşa Medresesi,tourism:attraction,41.008669,28.9679366,attraction
5244807883,Yahya Kemal Museum,tourism:museum,41.008741,28.967614,museum
5244807985,Çorlulu Alipaşa Madresesi,tourism:attraction,41.0089122,28.9683181,attraction
5253587679,tanzim,leisure:park,40.987703,29.0608133,park
5259653414,Dumankaya Adres Panorama Havuz Parkı,leisure:park,40.8604292,29.3441174,park
5259653415,Dumankaya Adres Panorama Çocuk Parkı,leisure:park,40.8597028,29.3433677,park
5293044482,Fatih Sultan Mehmet Heykeli,historic:memorial,41.0353157,28.9184913,historic
5293976357,Çocuk Parkı,leisure:park,40.9031202,29.1744065,park
5310063273,Cow Statue,historic:memorial,41.1081763,29.0342498,historic
5310063275,Walkway Monuments,historic:memorial,41.1063201,29.0280643,historic
5310063279,Balerin Heykeli,historic:memorial,41.1046962,29.0235944,historic
5311889622,صرافی,tourism:attraction,41.0357451,28.981708,attraction
5315252660,Çelik Gülersoy Parkı,leisure:park,41.1608555,29.0443539,park
5329335403,Aycan turizm,tourism:attraction,40.9675965,29.2660832,attraction
5389728328,Derya Sitesi Parkı,leisure:park,40.8141909,29.2840381,park
5389752334,Mim Sitesi Parkı,leisure:park,40.8162302,29.2870768,park
5478162925,Sarayburnu Atatürk Anıtı,historic:memorial,41.016263,28.9861325,historic
5482189629,Cezayirli Gazi Hasan Paşa Anıtı,historic:memorial,41.0305744,28.9670993,historic
5482189639,Labirent-maze,tourism:attraction,41.0595777,28.9495675,attraction
5482303122,Kristal Istanbul,tourism:attraction,41.0606675,28.9478424,attraction
5484713133,Nice Ajax Füzesi,tourism:attraction,40.9644738,28.825573,attraction
5484713134,Mavi Isik G,tourism:attraction,40.9647099,28.8251255,attraction
5484713136,Birinci dünya savasi (1914 - 1918),historic:memorial,40.9637619,28.8264748,historic
5484714621,Dornier Do 28 D-1,tourism:attraction,40.9632247,28.8265234,attraction
